"Development","Private","In progress","can","can","can","no"
"Development","Private","Completed Pending","can","can","can","no"
"Development","Private","Done","can","can","can","no"
"Development","Private","Deleted","no","no","no","no"
"Development","Shared","In progress","can","can","can","cannot"
"Development","Shared","Completed Pending","can","can","can","cannot"
"Development","Shared","Done","can","can","can","cannot"
"Development","Shared","Deleted","no","no","no","no"
"Development","Public","In progress","can","can","can","cannot"
"Development","Public","Completed Pending","can","can","can","cannot"
"Development","Public","Done","can","can","can","cannot"
"Development","Public","Deleted","no","no","no","no"
"Professional","Private","In progress","can","can","can","no"
"Professional","Private","Completed Pending","can","can","can","no"
"Professional","Private","Done","can","can","can","no"
"Professional","Private","Deleted","no","no","no","no"
"Professional","Shared","In progress","can","can","can","cannot"
"Professional","Shared","Completed Pending","can","can","can","cannot"
"Professional","Shared","Done","can","can","can","cannot"
"Professional","Shared","Deleted","no","no","no","no"
"Professional","Public","In progress","can","can","can","cannot"
"Professional","Public","Completed Pending","can","can","can","cannot"
"Professional","Public","Done","can","can","can","cannot"
"Professional","Public","Deleted","no","no","no","no"
"Business","Private","In progress","can","can","can","no"
"Business","Private","Completed Pending","can","can","can","no"
"Business","Private","Done","can","can","can","no"
"Business","Private","Deleted","no","no","no","no"
"Business","Shared","In progress","can","can","can","cannot"
"Business","Shared","Completed Pending","can","can","can","cannot"
"Business","Shared","Done","can","can","can","cannot"
"Business","Shared","Deleted","no","no","no","no"
"Business","Public","In progress","can","can","can","cannot"
"Business","Public","Completed Pending","can","can","can","cannot"
"Business","Public","Done","can","can","can","cannot"
"Business","Public","Deleted","no","no","no","no"
